,ID,TimeStamp,Where,What,UserID,Age,Gender,Education,City,User_clearness,User_knows_TLV,User_comment,LocationID,Location_Hebrew,Location_English,Location_Type,Location_Area,Location_geometry,Google_distance,Google_geometry,GIR_distance,GIR_geometry,geo_point,GIR_Distance
0,1232,171875.8,מדובר בכיכר בין כיכר רבין לדיזנגוף סנטר הכיכר מוקפת בנייני מגורים נמצאת ממש על הגבול הדרומי של כיכר רבין,בחלק הצפוני יש בית קפה חנות בגדי מעצבים וחנות חיות הכיכר עצמה אליפטיץ כך שהציר הארוך הוא צפוןדרום ובחלק הדרום מזרחי יש מבנה שירותים ציבוריים,316,26,2,2,הוד השרון,0,0,,92,כיכר מסריק,Masaryk Square,Square,4893.410618765218,"MULTIPOLYGON Z (((667854.6074000001 3550484.1897 0, 667836.4446999999 3550454.465 0, 667823.7981000002 3550456.1896 0, 667809.8905999996 3550478.942 0, 667817.0675999997 3550498.390699999 0, 667850.9090999998 3550542.119999999 0, 667879.3838999998 3550567.5043 0, 667896.1090000002 3550562.410599999 0, 667907.9029000001 3550545.8521 0, 667894.2259999998 3550521.3561 0, 667854.6074000001 3550484.1897 0)))",240.5794233575835,POINT (668053.8541000001 3550744.0557),508.6027278398605,"POLYGON ((668114.49609356 3549992.971957355, 668162.005961181 3549984.130675999, 668173.6404670205 3549981.195542125, 668175.6456198018 3549964.416596177, 668175.9226915258 3549959.075911328, 668178.0454486593 3549912.312213638, 668171.0991537712 3549913.816578094, 668121.8678795281 3549924.525757415, 668054.6313133029 3549939.140963107, 668067.9996914384 3550001.630570317, 668114.49609356 3549992.971957355))",POINT (668119.2288750608 3549957.754945018),571.5660665094595
1,1242,183084.0,שתי דקות הליכה דרום מזרח מכיכר רבין וגם לא רחוק מדיזנגוף סנטר,כיכר קטנה ירוקה באמצע איזור מגורים וליד הרבה חנויות מזון ומסעדות קטנות,318,23,1,1,תל אביב,2,3, ,92,כיכר מסריק,Masaryk Square,Square,4893.410618765218,"MULTIPOLYGON Z (((667854.6074000001 3550484.1897 0, 667836.4446999999 3550454.465 0, 667823.7981000002 3550456.1896 0, 667809.8905999996 3550478.942 0, 667817.0675999997 3550498.390699999 0, 667850.9090999998 3550542.119999999 0, 667879.3838999998 3550567.5043 0, 667896.1090000002 3550562.410599999 0, 667907.9029000001 3550545.8521 0, 667894.2259999998 3550521.3561 0, 667854.6074000001 3550484.1897 0)))",240.5794233575835,POINT (668053.8541000001 3550744.0557),246.01744982857377,"POLYGON ((667997.673803048 3550217.79560831, 667986.3010395563 3550028.638678776, 667923.5496102422 3550042.740950803, 667914.7636722545 3550041.864114796, 667921.4655989211 3550113.558927348, 667931.4639940214 3550227.537876491, 667997.673803048 3550217.79560831))",POINT (667957.70932546 3550128.315519396),347.96349389844
2,1271,59399.7,יחסית בצפון הישן של העיר בצפון אבן גבירול,יש סופר ואני חושבת שבנק ליד יש בר חביב והרבה עצים קרוב ממש לסוף אבן גבירול,284,23,2,2,באר שבע,4,4, ,92,כיכר מסריק,Masaryk Square,Square,4893.410618765218,"MULTIPOLYGON Z (((667854.6074000001 3550484.1897 0, 667836.4446999999 3550454.465 0, 667823.7981000002 3550456.1896 0, 667809.8905999996 3550478.942 0, 667817.0675999997 3550498.390699999 0, 667850.9090999998 3550542.119999999 0, 667879.3838999998 3550567.5043 0, 667896.1090000002 3550562.410599999 0, 667907.9029000001 3550545.8521 0, 667894.2259999998 3550521.3561 0, 667854.6074000001 3550484.1897 0)))",762.035705807142,POINT (668153.3772999998 3551279.7051),713.0871251018915,"POLYGON ((668177.4803611444 3549779.026232171, 668184.6106893172 3549777.247663046, 668186.8659134818 3549719.607117738, 668187.233006588 3549709.388430992, 668154.2351871608 3549720.532016495, 668090.1911011377 3549740.733572071, 668091.100268925 3549743.432299777, 668109.5469751265 3549795.747765288, 668177.4803611444 3549779.026232171))",POINT (668143.4361478754 3549754.344595495),764.4686585286106
3,1316,161111.7,ברחוב מסריק בצמוד יחסית לכיכר רבין מדרום מערב,גן שעשועים מזרקה,347,35,1,2,תל אביב,1,4, יותר מ 5 שאלות זה מאבד את זה ,92,כיכר מסריק,Masaryk Square,Square,4893.410618765218,"MULTIPOLYGON Z (((667854.6074000001 3550484.1897 0, 667836.4446999999 3550454.465 0, 667823.7981000002 3550456.1896 0, 667809.8905999996 3550478.942 0, 667817.0675999997 3550498.390699999 0, 667850.9090999998 3550542.119999999 0, 667879.3838999998 3550567.5043 0, 667896.1090000002 3550562.410599999 0, 667907.9029000001 3550545.8521 0, 667894.2259999998 3550521.3561 0, 667854.6074000001 3550484.1897 0)))",240.5794233575835,POINT (668053.8541000001 3550744.0557),0.0,"POLYGON ((667883.3184191918 3550560.123637022, 667888.7586516083 3550555.444774596, 667902.7505758817 3550541.203443539, 667836.9665606238 3550461.691891552, 667829.9294991319 3550467.009839184, 667813.6814274864 3550480.648496892, 667813.0937555596 3550487.658614132, 667870.7882362782 3550557.299801693, 667875.7300007776 3550561.661944134, 667883.3184191918 3550560.123637022))",POINT (667856.7819771231 3550512.921274466),0.0
4,1439,153434.0,בפינה הדרום מערבית של כיכר רבין יוצא רחוב קינג גורג לכיוון דרום כמה מטרים בהמשך הרחוב לכיוון דרום ישנו גן מלבני בתוך כיכר תנועה,במקום תפגשו גן מלבני מוקף כביש עם הרבה שטח מוצל על ידי עצים,385,44,1,2,כפר נטר,0,0,,92,כיכר מסריק,Masaryk Square,Square,4893.410618765218,"MULTIPOLYGON Z (((667854.6074000001 3550484.1897 0, 667836.4446999999 3550454.465 0, 667823.7981000002 3550456.1896 0, 667809.8905999996 3550478.942 0, 667817.0675999997 3550498.390699999 0, 667850.9090999998 3550542.119999999 0, 667879.3838999998 3550567.5043 0, 667896.1090000002 3550562.410599999 0, 667907.9029000001 3550545.8521 0, 667894.2259999998 3550521.3561 0, 667854.6074000001 3550484.1897 0)))",240.5794233575835,POINT (668053.8541000001 3550744.0557),1063.519871312527,"POLYGON ((667142.5562163845 3549549.084637705, 667302.4641150252 3549509.314841158, 667381.2290177811 3549489.128524297, 667366.4357876317 3549427.991854478, 667173.4104177805 3549479.803769837, 667149.7544228247 3549482.764512973, 667144.836674256 3549483.216093924, 667143.8672244784 3549487.624963579, 667123.9843072124 3549554.125028637, 667142.5562163845 3549549.084637705))",POINT (667254.8048366585 3549490.142598719),1121.160176965284
5,1553,205859.7,הכיכר מחברת בין אבן גבירול לתחילתו המזרחע של קינג גורג ההולך מזרח מערב,זוהי כיכר מוארכת מזרחמערב בכיכר ישנו גם גן משחקים וגם פסל של דמות צהובה וכן ספסלי ישיבה ועצים,420,28,1,2,קיסריה,4,4, ,92,כיכר מסריק,Masaryk Square,Square,4893.410618765218,"MULTIPOLYGON Z (((667854.6074000001 3550484.1897 0, 667836.4446999999 3550454.465 0, 667823.7981000002 3550456.1896 0, 667809.8905999996 3550478.942 0, 667817.0675999997 3550498.390699999 0, 667850.9090999998 3550542.119999999 0, 667879.3838999998 3550567.5043 0, 667896.1090000002 3550562.410599999 0, 667907.9029000001 3550545.8521 0, 667894.2259999998 3550521.3561 0, 667854.6074000001 3550484.1897 0)))",900.1008279001923,POINT (668179.2938999999 3551416.8038),768.5290943099848,"POLYGON ((668215.6064573443 3551593.75377635, 668250.0021057143 3551586.792492331, 668270.363103446 3551580.71928783, 668280.6282795537 3551578.271859517, 668308.172858506 3551571.696505603, 668346.5604403577 3551563.703680617, 668351.3352507144 3551562.706968785, 668421.2136841534 3551548.160193718, 668502.7924778975 3551531.17935106, 668554.017420047 3551520.516531009, 668565.5945193814 3551518.102203852, 668565.2651350982 3551514.048968329, 668562.937802349 3551485.842309687, 668561.9613657332 3551468.415141423, 668558.9636463674 3551435.65056232, 668558.1720969948 3551427.009583383, 668544.1885183065 3551286.846846477, 668542.6595182889 3551266.294302898, 668539.7687122062 3551247.01671322, 668533.4599066245 3551219.198823824, 668528.7456663344 3551198.283022459, 668523.9969626726 3551199.402081738, 668464.3479940683 3551213.529868233, 668306.3214800076 3551250.949235709, 668300.6534155459 3551252.286076694, 668296.0563389797 3551253.374477622, 668179.4031166999 3551278.804442074, 668169.5735074554 3551281.159377464, 668165.8103716759 3551282.062000968, 668166.2193744562 3551285.306974444, 668167.2301035227 3551293.275046598, 668175.4064960054 3551357.819594946, 668179.6995042153 3551391.692189325, 668180.7941483646 3551400.29376964, 668186.766217635 3551447.390960412, 668192.6415314368 3551490.627318103, 668205.2275053152 3551585.952427343, 668206.437555727 3551595.565093534, 668215.6064573443 3551593.75377635))",POINT (668368.7013975054 3551397.394431366),959.448577477302
6,1739,71015.3,צפון רחוב קינג גורג,כיכר לא שגרתית בעיגולה עם מקומות לשבת בכיכר ומשחקים לילדים יש ליד חומוס כספי,469,31,1,2,תל אביב,0,0,,92,כיכר מסריק,Masaryk Square,Square,4893.410618765218,"MULTIPOLYGON Z (((667854.6074000001 3550484.1897 0, 667836.4446999999 3550454.465 0, 667823.7981000002 3550456.1896 0, 667809.8905999996 3550478.942 0, 667817.0675999997 3550498.390699999 0, 667850.9090999998 3550542.119999999 0, 667879.3838999998 3550567.5043 0, 667896.1090000002 3550562.410599999 0, 667907.9029000001 3550545.8521 0, 667894.2259999998 3550521.3561 0, 667854.6074000001 3550484.1897 0)))",558.534556246042,POINT (667546.5537999999 3549971.3222),5301.830683336576,"POLYGON ((665812.8807509423 3545500.780120907, 665949.1763116964 3545475.195880773, 665951.3652913964 3545474.776834175, 666052.9764630247 3545455.405242162, 666074.2027514065 3545451.359461929, 666068.779151805 3545376.028572221, 666067.1544729637 3545358.03705287, 666065.0040694735 3545352.024769377, 666060.1754694917 3545347.465961391, 666054.4986697724 3545346.264564834, 666010.8696347959 3545351.742168671, 665933.0966451548 3545363.251488965, 665794.1417927333 3545383.813589013, 665808.588354825 3545501.586395406, 665812.8807509423 3545500.780120907))",POINT (665933.3300511821 3545420.481377275),5378.868537901526
7,1796,149020.6,פרישמן כיכר רבין תמשיך קצת מערבה וזה מדרום אלייך,סתם כלום אפילו לא כיכריש שם עצים וכן שעשועים,490,28,1,2,תל אביב,0,0,,92,כיכר מסריק,Masaryk Square,Square,4893.410618765218,"MULTIPOLYGON Z (((667854.6074000001 3550484.1897 0, 667836.4446999999 3550454.465 0, 667823.7981000002 3550456.1896 0, 667809.8905999996 3550478.942 0, 667817.0675999997 3550498.390699999 0, 667850.9090999998 3550542.119999999 0, 667879.3838999998 3550567.5043 0, 667896.1090000002 3550562.410599999 0, 667907.9029000001 3550545.8521 0, 667894.2259999998 3550521.3561 0, 667854.6074000001 3550484.1897 0)))",240.5794233575835,POINT (668053.8541000001 3550744.0557),0.0,"POLYGON ((667977.2096239388 3550633.367889759, 667987.7824566271 3550633.49801835, 667987.7824760458 3550618.049991774, 667988.0160636487 3550534.669994984, 667917.315283073 3550538.604723811, 667902.7505758817 3550541.203443539, 667888.7586516083 3550555.444774596, 667888.8093543237 3550565.537280003, 667916.208352367 3550598.8370653, 667925.6777521215 3550610.338097014, 667933.4279873886 3550619.592825162, 667945.8402020555 3550632.994419313, 667977.2096239388 3550633.367889759))",POINT (667947.5385660692 3550579.540627609),51.827995160385804
8,1808,283930.34,המקום נמצא בין הרחובות פרישמן ונצח ישראל בתל אביב הכיכר מחבר בין הרחובות מאנה רייך נצח ישראל ושדרות מסריק,המקום הוא כיכר אליפטית ניתן לשבת ברחבת הכיכר ישנם ספסלים ברחבה מזרקה פעילה לעתים ושירותים ציבוריים,493,28,2,2,גבעתיים,4,4, ,92,כיכר מסריק,Masaryk Square,Square,4893.410618765218,"MULTIPOLYGON Z (((667854.6074000001 3550484.1897 0, 667836.4446999999 3550454.465 0, 667823.7981000002 3550456.1896 0, 667809.8905999996 3550478.942 0, 667817.0675999997 3550498.390699999 0, 667850.9090999998 3550542.119999999 0, 667879.3838999998 3550567.5043 0, 667896.1090000002 3550562.410599999 0, 667907.9029000001 3550545.8521 0, 667894.2259999998 3550521.3561 0, 667854.6074000001 3550484.1897 0)))",480.0501790151268,POINT (667362.2536000004 3550652.525900001),0.0,"POLYGON ((667917.315283073 3550538.604723811, 667988.0160636487 3550534.669994984, 667993.1631138109 3550435.623649772, 667909.3106779836 3550448.601374028, 667847.174149712 3550457.069432025, 667836.9665606238 3550461.691891552, 667902.7505758817 3550541.203443539, 667917.315283073 3550538.604723811))",POINT (667929.0191714845 3550487.739386506),48.380246052245646
9,1909,278428.0,כיכר בין כיכר רבין ופרישמן לקינג גורג רחוב מאבן גבירול,צמחיה מתקני ילדים מבנים נמוכי קומה בית קפה סמוך,522,47,1,2,תל אביב,2,2, ,92,כיכר מסריק,Masaryk Square,Square,4893.410618765218,"MULTIPOLYGON Z (((667854.6074000001 3550484.1897 0, 667836.4446999999 3550454.465 0, 667823.7981000002 3550456.1896 0, 667809.8905999996 3550478.942 0, 667817.0675999997 3550498.390699999 0, 667850.9090999998 3550542.119999999 0, 667879.3838999998 3550567.5043 0, 667896.1090000002 3550562.410599999 0, 667907.9029000001 3550545.8521 0, 667894.2259999998 3550521.3561 0, 667854.6074000001 3550484.1897 0)))",230.2186710367233,POINT (668055.9013999999 3550728.1424),713.0871251018915,"POLYGON ((668177.4803611444 3549779.026232171, 668184.6106893172 3549777.247663046, 668186.8659134818 3549719.607117738, 668187.233006588 3549709.388430992, 668154.2351871608 3549720.532016495, 668090.1911011377 3549740.733572071, 668091.100268925 3549743.432299777, 668109.5469751265 3549795.747765288, 668177.4803611444 3549779.026232171))",POINT (668143.4361478754 3549754.344595495),764.4686585286106
