Unnamed: 0,ID,dist,Hebrew,Where_,geometry,google_unigrams_bigrams_unigrams
0,1034,900.1008279001923,כיכר מסריק,ליד רחוב אבן גבירול לב העיר,POINT (668179.2938999999 3551416.8038),0.6114322167542423
1,1069,440.8453494811208,כיכר מסריק,בקרבת כיכר רבין וכיוון דיזינגהוף סנטר,POINT (667527.6413000003 3550129.6382),0.2913678981310486
2,1083,357.8288203003462,כיכר מסריק,בין כיכר רבין לכיכר דיזינגוף,POINT (667452.9326999998 3550453.992000001),0.2913678981310486
3,1150,230.21867103672332,כיכר מסריק,ליד כיכר רבין,POINT (668055.9013999999 3550728.1424),0.2913678981310486
4,1169,240.5794233575835,כיכר מסריק,מרכז העיר ליד כיכר רבין,POINT (668053.8541000001 3550744.0557),0.2913678981310486
5,1232,240.5794233575835,כיכר מסריק,מדובר בכיכר בין כיכר רבין לדיזינגוף סנטר הכיכר מוקפת בנייני מגורים נמצאת ממש על הגבול הדרומי של כיכר רבין,POINT (668053.8541000001 3550744.0557),0.2913678981310486
6,1242,240.5794233575835,כיכר מסריק,שתי דקות הליכה דרום מזרח מכיכר רבין וגם לא רחוק מדיזינגוף סנטר,POINT (668053.8541000001 3550744.0557),0.2913678981310486
7,1271,762.035705807142,כיכר מסריק,יחסית בצפון הישן של העיר בצפון אבן גבירול,POINT (668153.3772999998 3551279.7051),0.9499677578705886
8,1288,240.5794233575835,כיכר מסריק,ברחוב קינג ג׳ורג׳ אם הולכים מדיזינגוף סנטר לכיוון כיכר רבין מגיעים למקום,POINT (668053.8541000001 3550744.0557),0.2806249850174091
9,1309,440.8453494811208,כיכר מסריק,בין כיכר רבין לדיזנגוף סנטר,POINT (667527.6413000003 3550129.6382),0.2913678981310486
10,1310,380.4500323711928,כיכר מסריק,מרכז העיר תת אביב,POINT (667430.9318000004 3550512.5941),0.8133126507858011
11,1316,240.5794233575835,כיכר מסריק,ברחוב מסריק בצמוד יחסית לכיכר רבין מדרום מערב,POINT (668053.8541000001 3550744.0557),0.2913678981310486
12,1393,240.5794233575835,כיכר מסריק,ליד כיכר רבין על קינג ג׳ורג׳,POINT (668053.8541000001 3550744.0557),0.2913678981310486
13,1439,240.5794233575835,כיכר מסריק,בפינה הדרום מערבית של כיכר רבין יוצא רחוב קינג גורג לכיוון דרום כמה מטרים בהמשך הרחוב לכיוון דרום ישנו גן מלבני בתוך כיכר תנועה,POINT (668053.8541000001 3550744.0557),0.2806249850174091
14,1447,762.035705807142,כיכר מסריק,בתל אביב ליד שדרות חן,POINT (668153.3772999998 3551279.7051),0.22912731117099283
15,1449,240.5794233575835,כיכר מסריק,מרכז העיר ליד כיכר רבין,POINT (668053.8541000001 3550744.0557),0.2913678981310486
16,1504,0.0,כיכר מסריק,כיכר מסריק נמצאת בצידה הדרומי של כיכר רבין כאשר רחוב פרישמן מפריד ביניהן בנוסף ניתן לומר שהיא נמצאת בצידו הצפוני של רחוב קינג גורג ושל דיזי,POINT (667868.7083999999 3550519.094599999),0.0
17,1553,900.1008279001923,כיכר מסריק,הכיכר מחברת בין אהן גבירול לתחילתו המזרחע של קינג גורג ההולך מזרח מערב,POINT (668179.2938999999 3551416.8038),0.6355164813146954
18,1581,240.5794233575835,כיכר מסריק,קינג גורג קרוב לכיכר רבין,POINT (668053.8541000001 3550744.0557),0.2425209186557357
19,1627,0.0,כיכר מסריק,קצה רחוב נצח ישראל וקינג גורג סמוך לסנטר,POINT (667833.2538000001 3550462.3848),0.14933931176488907
20,1639,0.0,כיכר מסריק,כיכר מוארכת וירוקה ברחוב מסריק סמוך לצומת מסריקפרידמן וכיכר רבין,POINT (667868.7083999999 3550519.094599999),0.2913678981310486
21,1670,240.5794233575835,כיכר מסריק,במרכז תל אביב קרוב לכיכר רבין,POINT (668053.8541000001 3550744.0557),0.2425209186557357
22,1698,933.253674265542,כיכר מסריק,ליד העיריה וליד אבן גבירול,POINT (668165.7326999996 3551455.8708),0.7242148376334406
23,1739,558.534556246042,כיכר מסריק,צפון רחוב קינג גורג,POINT (667546.5537999999 3549971.3222),0.6355164813146954
24,1796,240.5794233575835,כיכר מסריק,פרישמן כיכר רבין תמשיך קצת מערבה וזה מדרום אלייך,POINT (668053.8541000001 3550744.0557),0.2693437183385045
25,1808,480.0501790151268,כיכר מסריק,המקום נמצא בין הרחובות פרישמן ונצח ישראל בתל אביב הכיכר מחבר בין הרחובות מאנה רייך נצח ישראל ושדרות מסריק,POINT (667362.2536000004 3550652.525900001),0.035961047683955964
26,1876,480.0501790151268,כיכר מסריק,קרובה לכיכר רבין בהמשך פרישמן ולשדרות מסריק,POINT (667362.2536000004 3550652.525900001),0.035961047683955964
27,1909,230.21867103672332,כיכר מסריק,ככר בין ככר רבין ופרישמן לקינג גורג רחוב מאבן גבירול,POINT (668055.9013999999 3550728.1424),0.2913678981310486
28,1940,240.5794233575835,כיכר מסריק,דרומית לכיכר רבין ממשיכים בכביש מהפינה הדרומית מערבית,POINT (668053.8541000001 3550744.0557),0.2913678981310486
29,1941,240.5794233575835,כיכר מסריק,צמודה לכיכר רבין וקטנה ממנה בגודל מגרש כדורגל בלב העיר מלבנית כאשר הצד הצפוני פתוח וללא מבנים,POINT (668053.8541000001 3550744.0557),0.2913678981310486
30,1943,240.5794233575835,כיכר מסריק,בסמוך לכיכר רבין כיכר מלכי ישראל לשעבר בקצה שדרות מסריק היוצאת דרומה מפרישמן קרוב לדיזינגוף סנטר,POINT (668053.8541000001 3550744.0557),0.035961047683955964
31,2030,32.639512776816986,כיכר מסריק,כיכר בצורה מלבנית בהמשך לרחוב קינג גורג,POINT (667814.9709000001 3550424.7664),0.6355164813146954
32,2042,440.8453494811208,כיכר מסריק,בין כיכר רבין לדיזינגוף סנטר,POINT (667527.6413000003 3550129.6382),0.2913678981310486
33,2070,240.5794233575835,כיכר מסריק,מרכז תל אביב מאוד קרוב לכיכר רבין המפורסמת,POINT (668053.8541000001 3550744.0557),0.2425209186557357
34,2091,240.5794233575835,כיכר מסריק,נמצא סמוך לכיכר רבין הולכים על רחוב פרשימן שמהווה את הצלע הדרומית שלו חוצים את הכביש ומגיעים לכיכר קטנה שממנה יוצא רחוב קינג גורג בהמשך,POINT (668053.8541000001 3550744.0557),0.0
35,2134,240.5794233575835,כיכר מסריק,בין כיכר דיזינגוף לכיכר רבין,POINT (668053.8541000001 3550744.0557),0.2913678981310486
36,2151,240.5794233575835,כיכר מסריק,בין כיכר רבין לדיזינגוף סנטר איפשה שחומוס כספי,POINT (668053.8541000001 3550744.0557),0.2913678981310486
37,2208,440.8453494811208,כיכר מסריק,בין כיכר רבין לדיזנגוף סנטר בתחילת רחוב קינג גורג,POINT (667527.6413000003 3550129.6382),0.2913678981310486
38,2238,240.5794233575835,כיכר מסריק,קרוב לכיכר רבין על רח מסריק,POINT (668053.8541000001 3550744.0557),0.2425209186557357
39,1035,0.0,שוק הפשפשים,יפו ליד כיכר השעון,POINT (665809.1206 3547877.331499999),0.21274826026164187
40,1068,316.36921568710204,שוק הפשפשים,דרום תל אביב יפו,POINT (666008.4661999997 3547258.563200001),0.4392641105519527
41,1120,710.2943358136749,שוק הפשפשים,ביפו קרוב לים קרוב למלביה לא ממש רחוב ספציפי יותר אזור,POINT (666648.5773 3547458.510299999),0.3402061133702454
42,1136,4027.198096820849,שוק הפשפשים,נמצא בדרום תל אביב,POINT (668153.3772999998 3551279.7051),4.283836073562924
43,1183,0.0,שוק הפשפשים,יפו ליד כיכר השעון,POINT (665809.1206 3547877.331499999),0.21274826026164187
44,1184,0.0,שוק הפשפשים,ביפו ליד כיכר השעון,POINT (665809.1206 3547877.331499999),0.21274826026164187
45,1190,619.9435077946337,שוק הפשפשים,בדרום תל אביב יפו ליד חוף יפו ומזרחה לכיכר השעון,POINT (665094.6930999998 3547484.0284),0.21274826026164187
46,1255,619.9435077946337,שוק הפשפשים,המקום נמצא ביפו בסמטאות צפופות,POINT (665094.6930999998 3547484.0284),0.2465132760685737
47,1259,316.36921568710204,שוק הפשפשים,במרכז יפו בין הרחובות,POINT (666008.4661999997 3547258.563200001),0.4392641105519527
48,1260,4027.198096820849,שוק הפשפשים,בדרום תל אביב צמוד ליפו,POINT (668153.3772999998 3551279.7051),4.282139622935533
49,1371,619.9435077946337,שוק הפשפשים,צמוד לעיר העתיקה ביפו,POINT (665094.6930999998 3547484.0284),0.2465132760685737
50,1372,4027.198096820849,שוק הפשפשים,דרום תל אביב,POINT (668153.3772999998 3551279.7051),4.283836073562924
51,1408,0.0,שוק הפשפשים,יפו ליד כיכר השעון לא רחוק משדרות ירושלים,POINT (665809.1206 3547877.331499999),0.21274826026164187
52,1440,4027.198096820849,שוק הפשפשים,תל אביב יפו,POINT (668153.3772999998 3551279.7051),0.4392641105519527
53,1442,4027.198096820849,שוק הפשפשים,בתל אביב דרום תל אביב,POINT (668153.3772999998 3551279.7051),4.283836073562924
54,1482,4027.198096820849,שוק הפשפשים,ביפו בדרום תל אביב,POINT (668153.3772999998 3551279.7051),0.2465132760685737
55,1503,3744.522304262651,שוק הפשפשים,שוק על גבול יפו תל אביב השוק חודש ונראה מאוד נקי,POINT (669336.2725 3549629.634099999),0.4392641105519527
56,1538,1026.3237797849026,שוק הפשפשים,צפון יפו ליד שדרות ירושלים,POINT (665913.1753000002 3546541.479699999),0.4392641105519527
57,1568,0.0,שוק הפשפשים,בתוך יפו קרוב ליפו העתיקה סע על עולי ציון אחד הרחובות המרכזיים באזור עד בערך קפה פועה יש שם עוד בתי קפה,POINT (665851.858 3547668.9332),0.0
58,1640,316.36921568710204,שוק הפשפשים,באזור יפו מאחורי המאפייה המפורסמת שכחתי את השם,POINT (666008.4661999997 3547258.563200001),0.4392641105519527
